grupo_original,tipo_estoque
CARNE BOVINA CONGELADA COM OSSO,CONGELADO
CARNE BOVINA CONGELADA COM OSSO - COSTELA EN CX,CONGELADO
CARNE BOVINA CONGELADA SEM OSSO,CONGELADO
CARNE BOVINA CONGELADA SEM OSSO - DIANTEIROS,CONGELADO
CARNE BOVINA CONGELADA SEM OSSO - RECORTES,CONGELADO
CARNE BOVINA CONGELADA SEM OSSO - TRASEIROS,CONGELADO
CARNE BOVINA RESF. SEM OSSO - NACIONAL,CONGELADO
CARNE BOVINA RESFRIADA COM OSSO,RESFRIADO
CARNE BOVINA RESFRIADA SEM OSSO,RESFRIADO
CARNE BOVINA RESFRIADA SEM OSSO - COSTELA,RESFRIADO
CARNE BOVINA RESFRIADA SEM OSSO - DIANTEIROS,RESFRIADO
CARNE BOVINA RESFRIADA SEM OSSO - TRASEIROS,RESFRIADO
CARNE PARA CHARQUE,CONGELADO
CARNE SEM OSSO CONGELADA,CONGELADO
CARNE SUINA CONGELADA COM OSSO,CONGELADO
CARNE SUINA CONGELADA SEM OSSO,CONGELADO
CARNE SUINA RESFRIADA SEM OSSO,RESFRIADO
CHARQUE,CONGELADO
CONGELADOS,CONGELADO
CONGELADOS SUINOS,CONGELADO
EMBUTIDOS,CONGELADO
EMBUTIDOS BOVINO,CONGELADO
EMBUTIDOS CONG.,CONGELADO
EMBUTIDOS RESF.,CONGELADO
EMBUTIDOS SUINOS,CONGELADO
FRANGO,AMBIENTE
INDUSTRIALIZACAO,AMBIENTE
JERKED,AMBIENTE
JERKED BEEF,AMBIENTE
MAT.PRIMA TRIPA SECA,AMBIENTE
MERCADORIA PET,AMBIENTE
MIUDOS,CONGELADO
MIUDOS BOVINOS,CONGELADO
MIUDOS CONG.,CONGELADO
MIUDOS SUINO,CONGELADO
MIUDOS SUINOS,CONGELADO
SUB PRODUTOS,AMBIENTE
SUINO COM OSSO,AMBIENTE
SUINO SEM OSSO,AMBIENTE
SUINOS COM OSSO,CONGELADO
SUINOS COM OSSO CONG.,CONGELADO
SUINOS SEM OSSO,CONGELADO
TRIPA,AMBIENTE
TRIPA SECA,AMBIENTE
VEGETAIS CONGELADOS,CONGELADO
